rep_id,member_id,cluster_size
BAD11967.1|HCV_p7|SRC:NCBI,BAD11967.1|HCV_p7|SRC:NCBI,1
AAB53536.1|HCV_p7|SRC:NCBI,AAB53536.1|HCV_p7|SRC:NCBI,2
AAB53536.1|HCV_p7|SRC:NCBI,AAB53535.1|HCV_p7|SRC:NCBI,2
AYU65308.1|HCV_p7|SRC:NCBI,AYU65308.1|HCV_p7|SRC:NCBI,2
AYU65308.1|HCV_p7|SRC:NCBI,AOM73723.1|HCV_p7|SRC:NCBI,2
AAO83278.1|HCV_p7|SRC:NCBI,AAO83278.1|HCV_p7|SRC:NCBI,2
AAO83278.1|HCV_p7|SRC:NCBI,AAO83277.1|HCV_p7|SRC:NCBI,2
AAC40516.1|HCV_p7|SRC:NCBI,AAC40516.1|HCV_p7|SRC:NCBI,1
CAX33265.1|HCV_p7|SRC:NCBI,CAX33265.1|HCV_p7|SRC:NCBI,1
CAX33264.1|HCV_p7|SRC:NCBI,CAX33264.1|HCV_p7|SRC:NCBI,2
CAX33264.1|HCV_p7|SRC:NCBI,CAX33263.1|HCV_p7|SRC:NCBI,2
AGL95321.1|HCV_p7|SRC:NCBI,AGL95321.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95320.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95319.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95317.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95316.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95315.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95314.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95313.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95312.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95311.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95309.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95308.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95306.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95301.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95296.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95295.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95294.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95293.1|HCV_p7|SRC:NCBI,19
AGL95321.1|HCV_p7|SRC:NCBI,AGL95292.1|HCV_p7|SRC:NCBI,19
CAX33484.1|HCV_p7|SRC:NCBI,CAX33484.1|HCV_p7|SRC:NCBI,2
CAX33484.1|HCV_p7|SRC:NCBI,CAX33482.1|HCV_p7|SRC:NCBI,2
CAX33479.1|HCV_p7|SRC:NCBI,CAX33479.1|HCV_p7|SRC:NCBI,4
CAX33479.1|HCV_p7|SRC:NCBI,CAX33478.1|HCV_p7|SRC:NCBI,4
CAX33479.1|HCV_p7|SRC:NCBI,CAX33477.1|HCV_p7|SRC:NCBI,4
CAX33479.1|HCV_p7|SRC:NCBI,CAX33476.1|HCV_p7|SRC:NCBI,4
AAO83169.1|HCV_p7|SRC:NCBI,AAO83169.1|HCV_p7|SRC:NCBI,2
AAO83169.1|HCV_p7|SRC:NCBI,AAO83168.1|HCV_p7|SRC:NCBI,2
ALL43979.1|HCV_p7|SRC:NCBI,ALL43979.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43978.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43977.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43975.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43974.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43973.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43972.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43969.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43968.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43967.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43966.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43964.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43962.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43958.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43957.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43956.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43955.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43951.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43946.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43945.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43944.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43942.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43941.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43940.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43937.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43936.1|HCV_p7|SRC:NCBI,27
ALL43979.1|HCV_p7|SRC:NCBI,ALL43935.1|HCV_p7|SRC:NCBI,27
pdb|HCV_p7|SRC:NCBI,pdb|HCV_p7|SRC:NCBI,1
ACX46507.1|HCV_p7|SRC:NCBI,ACX46507.1|HCV_p7|SRC:NCBI,3
ACX46507.1|HCV_p7|SRC:NCBI,ACX46506.1|HCV_p7|SRC:NCBI,3
ACX46507.1|HCV_p7|SRC:NCBI,ACX46502.1|HCV_p7|SRC:NCBI,3
AAB88249.1|HCV_p7|SRC:NCBI,AAB88249.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81108.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81095.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81174.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81168.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81152.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81149.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81139.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81133.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC81126.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC83288.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC83274.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC83271.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC83262.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC83259.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC83198.1|HCV_p7|SRC:NCBI,17
AAB88249.1|HCV_p7|SRC:NCBI,CAC83184.1|HCV_p7|SRC:NCBI,17
ADA68289.1|HCV_p7|SRC:NCBI,ADA68289.1|HCV_p7|SRC:NCBI,4
ADA68289.1|HCV_p7|SRC:NCBI,ADA68288.1|HCV_p7|SRC:NCBI,4
