rep_id,member_id,cluster_size
QHF16121.1|alphavirus_6K|SRC:NCBI,QHF16121.1|alphavirus_6K|SRC:NCBI,1
QHF16119.1|alphavirus_6K|SRC:NCBI,QHF16119.1|alphavirus_6K|SRC:NCBI,1
QHF16118.1|alphavirus_6K|SRC:NCBI,QHF16118.1|alphavirus_6K|SRC:NCBI,3
QHF16118.1|alphavirus_6K|SRC:NCBI,QHF16109.1|alphavirus_6K|SRC:NCBI,3
QHF16118.1|alphavirus_6K|SRC:NCBI,QHF16048.1|alphavirus_6K|SRC:NCBI,3
YP_006390079.1|alphavirus_6K|SRC:NCBI,YP_006390079.1|alphavirus_6K|SRC:NCBI,1
NP_740642.1|alphavirus_6K|SRC:NCBI,NP_740642.1|alphavirus_6K|SRC:NCBI,2
NP_740642.1|alphavirus_6K|SRC:NCBI,NP_740660.1|alphavirus_6K|SRC:NCBI,2
CAA55000.1|alphavirus_6K|SRC:NCBI,CAA55000.1|alphavirus_6K|SRC:NCBI,1
tr|alphavirus_6K|SRC:UniProt,tr|alphavirus_6K|SRC:UniProt,3
tr|alphavirus_6K|SRC:UniProt,YP_010806456.1|alphavirus_6K|SRC:NCBI,3
tr|alphavirus_6K|SRC:UniProt,NP_818994.1|alphavirus_6K|SRC:NCBI,3
tr|alphavirus_6K|SRC:UniProt,tr|alphavirus_6K|SRC:UniProt,1
YP_010806399.1|alphavirus_6K|SRC:NCBI,YP_010806399.1|alphavirus_6K|SRC:NCBI,2
YP_010806399.1|alphavirus_6K|SRC:NCBI,NP_740710.1|alphavirus_6K|SRC:NCBI,2
AKC92520.1|alphavirus_6K|SRC:NCBI,AKC92520.1|alphavirus_6K|SRC:NCBI,1
tr|alphavirus_6K|SRC:UniProt,tr|alphavirus_6K|SRC:UniProt,1
YP_010806446.1|alphavirus_6K|SRC:NCBI,YP_010806446.1|alphavirus_6K|SRC:NCBI,1
NP_740695.1|alphavirus_6K|SRC:NCBI,NP_740695.1|alphavirus_6K|SRC:NCBI,1
NP_740685.1|alphavirus_6K|SRC:NCBI,NP_740685.1|alphavirus_6K|SRC:NCBI,1
NP_819001.1|alphavirus_6K|SRC:NCBI,NP_819001.1|alphavirus_6K|SRC:NCBI,1
YP_010806427.1|alphavirus_6K|SRC:NCBI,YP_010806427.1|alphavirus_6K|SRC:NCBI,2
YP_010806427.1|alphavirus_6K|SRC:NCBI,NP_740647.1|alphavirus_6K|SRC:NCBI,2
YP_009509072.1|alphavirus_6K|SRC:NCBI,YP_009509072.1|alphavirus_6K|SRC:NCBI,1
YP_009509057.1|alphavirus_6K|SRC:NCBI,YP_009509057.1|alphavirus_6K|SRC:NCBI,2
YP_009509057.1|alphavirus_6K|SRC:NCBI,YP_009509030.1|alphavirus_6K|SRC:NCBI,2
YP_009509048.1|alphavirus_6K|SRC:NCBI,YP_009509048.1|alphavirus_6K|SRC:NCBI,1
YP_009509039.1|alphavirus_6K|SRC:NCBI,YP_009509039.1|alphavirus_6K|SRC:NCBI,1
YP_009509021.1|alphavirus_6K|SRC:NCBI,YP_009509021.1|alphavirus_6K|SRC:NCBI,1
YP_009509012.1|alphavirus_6K|SRC:NCBI,YP_009509012.1|alphavirus_6K|SRC:NCBI,1
YP_003324598.1|alphavirus_6K|SRC:NCBI,YP_003324598.1|alphavirus_6K|SRC:NCBI,1
YP_002802308.1|alphavirus_6K|SRC:NCBI,YP_002802308.1|alphavirus_6K|SRC:NCBI,1
NP_818941.1|alphavirus_6K|SRC:NCBI,NP_818941.1|alphavirus_6K|SRC:NCBI,1
NP_740676.1|alphavirus_6K|SRC:NCBI,NP_740676.1|alphavirus_6K|SRC:NCBI,1
NP_819018.1|alphavirus_6K|SRC:NCBI,NP_819018.1|alphavirus_6K|SRC:NCBI,1
tr|alphavirus_6K|SRC:UniProt,tr|alphavirus_6K|SRC:UniProt,1
