rep_id,member_id,cluster_size
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
AGV38345.1|HIV_Vpu|SRC:NCBI,AGV38345.1|HIV_Vpu|SRC:NCBI,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
AAA45378.1|HIV_Vpu|SRC:NCBI,AAA45378.1|HIV_Vpu|SRC:NCBI,1
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10729.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10726.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10725.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10724.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10723.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10722.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10720.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10712.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10709.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10708.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10707.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10705.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10704.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10689.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10688.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10685.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10682.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,ABL10681.1|HIV_Vpu|SRC:NCBI,19
ABL10729.1|HIV_Vpu|SRC:NCBI,AAA44852.1|HIV_Vpu|SRC:NCBI,19
ABL10719.1|HIV_Vpu|SRC:NCBI,ABL10719.1|HIV_Vpu|SRC:NCBI,7
ABL10719.1|HIV_Vpu|SRC:NCBI,ABL10718.1|HIV_Vpu|SRC:NCBI,7
ABL10719.1|HIV_Vpu|SRC:NCBI,ABL10715.1|HIV_Vpu|SRC:NCBI,7
ABL10719.1|HIV_Vpu|SRC:NCBI,ABL10713.1|HIV_Vpu|SRC:NCBI,7
ABL10719.1|HIV_Vpu|SRC:NCBI,ABL10711.1|HIV_Vpu|SRC:NCBI,7
ABL10719.1|HIV_Vpu|SRC:NCBI,ABL10710.1|HIV_Vpu|SRC:NCBI,7
ABL10719.1|HIV_Vpu|SRC:NCBI,ABL10706.1|HIV_Vpu|SRC:NCBI,7
ABL10702.1|HIV_Vpu|SRC:NCBI,ABL10702.1|HIV_Vpu|SRC:NCBI,6
ABL10702.1|HIV_Vpu|SRC:NCBI,ABL10701.1|HIV_Vpu|SRC:NCBI,6
ABL10702.1|HIV_Vpu|SRC:NCBI,ABL10696.1|HIV_Vpu|SRC:NCBI,6
ABL10702.1|HIV_Vpu|SRC:NCBI,ABL10695.1|HIV_Vpu|SRC:NCBI,6
ABL10702.1|HIV_Vpu|SRC:NCBI,ABL10694.1|HIV_Vpu|SRC:NCBI,6
ABL10702.1|HIV_Vpu|SRC:NCBI,ABL10690.1|HIV_Vpu|SRC:NCBI,6
ABL10683.1|HIV_Vpu|SRC:NCBI,ABL10683.1|HIV_Vpu|SRC:NCBI,1
ABL10680.1|HIV_Vpu|SRC:NCBI,ABL10680.1|HIV_Vpu|SRC:NCBI,3
ABL10680.1|HIV_Vpu|SRC:NCBI,ABL10677.1|HIV_Vpu|SRC:NCBI,3
ABL10680.1|HIV_Vpu|SRC:NCBI,ABL10675.1|HIV_Vpu|SRC:NCBI,3
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
ACG61208.1|HIV_Vpu|SRC:NCBI,ACG61208.1|HIV_Vpu|SRC:NCBI,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
ABC74683.1|HIV_Vpu|SRC:NCBI,ABC74683.1|HIV_Vpu|SRC:NCBI,1
tr|HIV_Vpu|SRC:UniProt,tr|HIV_Vpu|SRC:UniProt,1
